State,District,Crop,Season,Area_ha,Annual_Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_ton_per_ha
Madhya Pradesh,Indore,Cotton,Kharif,21.07,987.0,24.3,6.3,209.9,2.15,5.686
Uttar Pradesh,Kanpur,Mustard,Rabi,40.52,788.2,22.5,6.74,170.9,1.98,4.908
Punjab,Patiala,Sugarcane,Whole Year,179.5,751.9,21.9,7.23,143.0,0.17,13.0
Madhya Pradesh,Indore,Rice,Kharif,230.55,960.1,24.4,6.75,77.1,2.39,8.206
Jharkhand,Dhanbad,Maize,Kharif,46.62,961.4,25.0,5.53,148.8,2.94,8.143
Bihar,Gaya,Groundnut,Kharif,63.31,862.1,22.0,6.01,111.6,1.15,5.316
Karnataka,Dharwad,Barley,Rabi,15.39,963.1,30.6,7.15,162.2,1.55,6.147
Madhya Pradesh,Bhopal,Chickpea,Rabi,202.98,1075.9,35.1,6.45,117.0,0.45,3.479
Odisha,Cuttack,Maize,Kharif,115.73,1144.6,32.1,5.63,121.7,0.79,8.439
Tamil Nadu,Thanjavur,Cotton,Kharif,155.24,1242.2,30.9,5.99,216.7,7.43,7.167
Maharashtra,Nashik,Barley,Rabi,452.85,1051.4,31.6,7.49,136.7,1.34,6.343
Odisha,Cuttack,Barley,Rabi,50.23,1269.1,18.4,6.21,98.0,10.02,6.744
Assam,Kamrup,Groundnut,Kharif,238.35,1968.0,25.4,5.09,65.3,4.36,6.061
Punjab,Patiala,Wheat,Rabi,118.76,612.4,24.7,7.99,286.3,0.3,9.958
Rajasthan,Bikaner,Wheat,Rabi,339.03,336.3,39.8,7.78,102.6,5.6,5.478
Tamil Nadu,Madurai,Maize,Kharif,331.62,810.6,32.2,6.02,127.6,9.88,7.942
Rajasthan,Jaipur,Chickpea,Rabi,155.94,398.2,36.5,7.38,118.7,4.17,2.261
Gujarat,Ahmedabad,Cotton,Kharif,455.02,612.1,27.4,7.22,160.4,1.45,5.03
Uttar Pradesh,Agra,Maize,Kharif,93.13,807.2,32.4,7.43,240.5,9.85,10.134
Uttar Pradesh,Kanpur,Barley,Rabi,39.4,559.8,26.0,6.81,220.4,4.47,6.881
Punjab,Amritsar,Maize,Kharif,445.21,539.9,18.9,7.17,213.6,3.49,8.802
Karnataka,Dharwad,Wheat,Rabi,169.73,1102.6,27.0,5.91,134.6,1.15,8.245
Assam,Kamrup,Maize,Kharif,785.75,2155.3,27.4,6.87,136.4,0.27,10.057
Punjab,Amritsar,Maize,Kharif,238.17,566.3,26.6,7.24,164.6,3.34,8.204
Assam,Jorhat,Chickpea,Rabi,29.38,1900.7,21.9,6.13,76.5,4.32,3.858
Maharashtra,Pune,Maize,Kharif,320.19,1093.5,32.6,8.73,180.6,5.56,9.883
Karnataka,Mysuru,Maize,Kharif,79.54,880.9,25.4,7.64,110.7,0.59,7.525
Maharashtra,Nagpur,Mustard,Rabi,147.73,1119.1,25.5,6.63,102.8,3.41,5.244
Bihar,Patna,Mustard,Rabi,28.48,982.6,20.5,6.42,146.9,12.22,5.161
Maharashtra,Pune,Chickpea,Rabi,105.17,601.9,32.5,7.23,117.3,1.01,2.546
Odisha,Cuttack,Mustard,Rabi,108.81,1072.6,32.7,7.27,146.1,1.0,5.359
Gujarat,Rajkot,Soybean,Kharif,20.59,588.0,27.8,8.05,20.3,0.67,3.032
Odisha,Sambalpur,Soybean,Kharif,230.38,1278.6,31.1,7.91,112.9,3.35,6.454
Bihar,Gaya,Groundnut,Kharif,333.42,1216.7,21.8,6.9,147.9,6.01,7.02
Rajasthan,Bikaner,Sugarcane,Whole Year,372.71,378.1,25.6,7.7,77.7,0.1,10.061
Bihar,Patna,Sugarcane,Whole Year,7.99,1202.9,29.6,6.71,147.9,2.78,13.0
West Bengal,Murshidabad,Barley,Rabi,83.35,1544.8,28.5,6.97,119.3,9.35,7.282
Tamil Nadu,Coimbatore,Chickpea,Rabi,152.85,1269.8,28.1,5.83,61.6,1.24,3.329
Uttar Pradesh,Kanpur,Wheat,Rabi,199.85,898.6,25.2,7.05,186.8,2.08,8.614
Andhra Pradesh,Guntur,Soybean,Kharif,19.13,713.6,32.5,6.91,118.4,2.79,4.731
West Bengal,Murshidabad,Maize,Kharif,364.63,2003.4,29.6,6.25,142.9,1.94,10.224
Andhra Pradesh,Krishna,Sugarcane,Whole Year,588.43,689.3,34.6,6.36,117.7,5.25,13.0
Assam,Nagaon,Chickpea,Rabi,103.91,1922.9,21.3,4.65,77.3,2.97,4.082
Jharkhand,Hazaribag,Barley,Rabi,654.94,1353.7,29.6,6.72,53.7,7.1,5.997
Assam,Jorhat,Soybean,Kharif,237.76,1536.1,28.4,5.5,98.6,0.27,6.559
Jharkhand,Ranchi,Wheat,Rabi,267.2,1088.8,22.5,6.72,95.4,0.4,7.563
West Bengal,Nadia,Groundnut,Kharif,16.18,1510.6,22.6,6.82,76.6,12.83,5.822
Bihar,Patna,Maize,Kharif,174.05,1115.2,26.4,7.12,135.7,0.63,9.252
Rajasthan,Jaipur,Wheat,Rabi,369.18,379.5,22.3,7.97,92.0,6.38,5.519
Punjab,Patiala,Soybean,Kharif,1634.49,538.9,24.3,7.32,200.2,5.13,5.76
West Bengal,Nadia,Sugarcane,Whole Year,64.24,1212.3,25.5,5.81,112.7,0.81,13.0
Haryana,Rohtak,Groundnut,Kharif,295.96,572.0,25.2,8.22,229.8,2.81,6.096
West Bengal,Burdwan,Barley,Rabi,29.32,1711.3,33.5,5.62,164.0,0.1,7.528
Odisha,Sambalpur,Maize,Kharif,119.9,963.1,30.4,7.03,100.8,2.6,7.981
Punjab,Ludhiana,Soybean,Kharif,135.7,466.7,22.7,7.35,198.7,1.4,4.604
Uttar Pradesh,Agra,Barley,Rabi,40.15,950.5,28.2,6.53,193.6,2.25,7.087
Tamil Nadu,Coimbatore,Rice,Kharif,46.22,943.9,27.6,6.45,115.7,1.59,9.26
Gujarat,Ahmedabad,Sugarcane,Whole Year,143.35,684.6,38.8,7.22,134.8,0.1,12.667
Bihar,Patna,Wheat,Rabi,53.87,1082.1,27.2,7.2,132.8,4.99,8.852
Maharashtra,Nagpur,Groundnut,Kharif,143.36,1050.5,32.9,6.96,93.1,2.08,5.498
Uttar Pradesh,Agra,Maize,Kharif,367.41,894.0,23.1,7.13,101.9,0.33,7.153
Tamil Nadu,Coimbatore,Cotton,Kharif,138.01,1091.3,33.2,6.83,157.9,3.09,5.572
Rajasthan,Jodhpur,Groundnut,Kharif,187.07,149.2,37.5,8.16,84.9,0.98,2.422
Gujarat,Ahmedabad,Wheat,Rabi,41.3,677.2,25.7,7.11,116.9,7.95,6.998
Madhya Pradesh,Jabalpur,Maize,Kharif,343.92,1027.6,28.9,7.8,116.9,4.44,8.134
Tamil Nadu,Thanjavur,Soybean,Kharif,150.94,1573.3,31.9,6.09,192.5,0.32,7.736
Odisha,Cuttack,Cotton,Kharif,13.09,1206.6,29.2,5.48,96.5,16.1,5.395
Punjab,Ludhiana,Soybean,Kharif,127.57,568.1,25.6,7.78,129.2,9.28,4.56
Odisha,Puri,Rice,Kharif,9.86,1238.2,24.0,6.11,122.4,5.32,10.225
Karnataka,Dharwad,Maize,Kharif,200.89,981.4,24.7,6.36,125.1,3.11,8.657
Haryana,Rohtak,Groundnut,Kharif,115.52,577.0,25.5,7.68,268.9,3.02,6.336
Haryana,Rohtak,Soybean,Kharif,80.94,392.9,12.6,7.97,219.8,0.64,4.55
Jharkhand,Dhanbad,Wheat,Rabi,57.13,1236.4,28.2,5.52,72.8,4.77,7.521
Maharashtra,Nagpur,Soybean,Kharif,153.78,904.5,28.0,6.93,100.4,3.24,4.868
Jharkhand,Ranchi,Groundnut,Kharif,251.88,685.4,25.1,6.6,164.0,3.2,5.452
Madhya Pradesh,Bhopal,Sugarcane,Whole Year,29.96,791.2,32.6,7.01,108.7,4.53,13.0
Andhra Pradesh,Guntur,Cotton,Kharif,186.64,956.9,31.8,6.73,101.7,1.93,4.881
Assam,Kamrup,Chickpea,Rabi,101.83,2235.0,36.2,5.91,85.3,5.68,3.696
West Bengal,Burdwan,Sugarcane,Whole Year,501.32,1497.5,24.2,5.27,42.5,3.1,13.0
Bihar,Patna,Mustard,Rabi,173.78,774.6,25.8,7.15,89.3,11.36,4.433
Punjab,Amritsar,Cotton,Kharif,74.19,629.9,28.6,6.97,163.6,1.77,5.205
Odisha,Cuttack,Wheat,Rabi,177.08,1277.5,33.3,5.76,146.4,2.63,8.403
Assam,Jorhat,Wheat,Rabi,15.7,2757.1,25.9,5.42,68.5,4.9,8.264
Haryana,Rohtak,Wheat,Rabi,160.47,505.0,22.7,7.81,155.7,2.46,7.197
Rajasthan,Jodhpur,Mustard,Rabi,20.95,297.5,33.4,7.19,120.0,0.98,3.364
Andhra Pradesh,Guntur,Cotton,Kharif,78.31,995.5,28.9,6.07,153.8,4.66,5.497
West Bengal,Burdwan,Maize,Kharif,196.04,1632.6,31.5,6.52,149.2,1.43,10.204
Madhya Pradesh,Indore,Cotton,Kharif,90.12,1074.2,35.1,6.56,104.6,12.85,5.169
Karnataka,Dharwad,Groundnut,Kharif,110.75,864.0,31.4,6.76,140.4,0.1,5.606
Tamil Nadu,Madurai,Barley,Rabi,109.53,708.0,31.9,5.9,196.9,6.05,7.029
West Bengal,Burdwan,Sugarcane,Whole Year,46.24,1652.1,21.2,6.82,156.5,0.1,13.0
Karnataka,Dharwad,Barley,Rabi,146.34,1027.2,19.6,6.06,122.5,3.23,6.78
Maharashtra,Nagpur,Soybean,Kharif,167.13,815.4,23.2,6.31,170.0,2.26,5.858
West Bengal,Burdwan,Groundnut,Kharif,35.35,1596.2,29.2,5.17,148.3,10.87,7.183
Andhra Pradesh,Guntur,Rice,Kharif,136.83,860.1,31.0,6.69,132.3,4.08,8.463
Uttar Pradesh,Kanpur,Rice,Kharif,654.55,789.9,31.9,6.7,189.9,2.58,9.722
Karnataka,Mysuru,Groundnut,Kharif,378.35,1000.7,29.5,7.34,173.2,1.01,6.071
Maharashtra,Nashik,Barley,Rabi,177.47,988.4,28.4,6.86,55.8,0.45,5.032
Madhya Pradesh,Jabalpur,Barley,Rabi,76.87,893.7,32.1,6.91,121.2,6.18,6.049
Uttar Pradesh,Agra,Rice,Kharif,258.03,780.7,19.7,7.64,151.6,2.71,8.366
Tamil Nadu,Coimbatore,Mustard,Rabi,108.09,1079.1,35.1,7.01,147.5,2.17,4.964
Uttar Pradesh,Varanasi,Chickpea,Rabi,102.81,672.0,33.3,6.66,263.5,7.24,4.081
Jharkhand,Dhanbad,Barley,Rabi,0.67,1146.7,23.7,6.84,105.4,2.2,6.592
Haryana,Karnal,Soybean,Kharif,9.23,491.6,26.3,7.3,175.7,0.47,4.522
